CPU,Display,Graphics,Name,Price,Ram,Storage,URL
i7 - 9850H,15.6'' Full HD,Nvidia Quadro T1000,Laptop Cũ Lenovo Thinkpad P53 - Intel Core i7 9850H | 16GB | Quadro T1000 ,Liên Hệ,16GB DDR4,SSD 512GB,https://laptop88.vn/laptop-cu-lenovo-thinkpad-p53-intel-core-i7.html
Microsoft® SQ1™,"13"" 2K+",Adreno™ 685 GPU,Laptop Cũ Surface Pro X 1876 13 (LTE) | CPU SQ1 | 13 inch 2K+ | Kèm Phím,Liên Hệ,8GB ,SSD 256GB,https://laptop88.vn/laptop-cu-surface-pro-x-1876-13-sq1.html
"
i5-1145G7
","14"" Full HD","
Intel Iris Xe Graphics
",Laptop Cũ Dell Latitude 7420 - Intel Core i5-1145G7 | 14 inch Full HD,13.490.000 đ,8GB DDR4,SSD 256GB NVMe,https://laptop88.vn/laptop-cu-dell-latitude-7420-intel-core-i5-1145g7-14-inch-full-hd.html
i7 - 9850H,"15.6"" Full HD",Quadro T2000M,Laptop Cũ Dell Precision 7540 - Intel Core i7,21.990.000 đ,16GB DDR4,SSD 512GB,https://laptop88.vn/laptop-cu-dell-precision-7540-intel-core-i7.html
,,,Mac Mini Late 2014 Cũ A1347 EMC 2840 - Intel Core i5 2.6GHz,6.800.000 đ,,,https://laptop88.vn/mac-mini-late-2014-cu-a1347-emc-2840-intel-core-i5-2.6ghz.html
i7 - 8650U,"14"" Full HD",Intel HD 620,Laptop Cũ Dell Latitude 5490 - Intel Core i7,Liên Hệ,8GB DDR4,SSD 240GB,https://laptop88.vn/laptop-cu-dell-latitude-e5490-intel-core-i7.html
i5 - 8250U,15.6 inch Full HD,Intel UHD Graphics,Laptop Cũ Dell Latitude 5590 - Intel Core i5,8.490.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-5590-intel-core-i5/p4571.html
i7 - 7820HQ,"15.6"" Full HD",Intel HD Graphics,Laptop Cũ Dell Latitude 5580 - Intel Core i7,9.390.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-5580-intel-core-i-7.html
"
i5 - 8250u
",14 inch FHD,UHD 620,Laptop cũ HP Elitebook x360 1040 G5 - Intel Core i5 | 14 inch Full HD,11.990.000 đ,8GB LPDDR4,SSD 256GB ,https://laptop88.vn/moi-100-full-box-laptop-hp-elitebook-x360-1040-g5-5xd03pa-intel-core-i5.html
i7-7500U,13.3'' Full HD,Intel HD 620,Laptop Cũ Dell XPS 13 9360 - Intel Core i7,15.990.000 đ,8GB LPDDR3,SSD 256GB,https://laptop88.vn/laptop-dell-xps-9360-intel-core-i7-7500u-ram-8gb-ssd-nvme-256gb-intel-iris-plus-graphic-640-13.3-inch-fullhd/p4133.html
i7 - 3720 QM,"17.3"" Full HD",Quadro K5000M,Laptop Cũ Dell Precision M6700 Intel Core i7,10.990.000 đ,8GB DDR3,SSD 256GB,https://laptop88.vn/laptop-cu-dell-precision-m6700.html
Xeon E3,"15.6"" Full HD",Quadro M2000M,Laptop Workstation Cũ ThinkPad P50 - Intel Xeon E3 | Nvidia M2000M - Flash Sale,Liên Hệ,8GB DDR4,SSD 240GB,https://laptop88.vn/laptop-workstation-cu-thinkpad-p50-intel-core-i7-6820hq-nvidia-m1000m-flash-sale.html
 i7 - 6820HQ,"14"" Full HD",Intel HD 530,Laptop Cũ Dell Latitude E5470 - Intel Core i7,Liên Hệ,8GB DDR4,SSD 240GB,https://laptop88.vn/laptop-cu-dell-latitude-e5470-intel-core-i7.html
i3 - 6100U,12.5 Inch HD,Intel HD 520,Laptop Cũ Lenovo K21-80 - Intel Core i3,3.990.000 đ,4GB DDR3L,SSD 120GB,https://laptop88.vn/laptop-cu-lenovo-k21-intel-core-i3.html
i5 - 6300U,14'' Full HD,Intel HD Graphics,Laptop Cũ Lenovo Thinkpad T470 - Intel Core i5,Liên Hệ,8GB DDR4,SSD 240GB,https://laptop88.vn/laptop-cu-lenovo-thinkpad-t470-intel-core-i5.html
AMD R5 - 2500U,"14"" Full HD","
AMD Radeon Vega
",Laptop Cũ HP Elitebook 745 G5 - AMD Ryzen 5,Liên Hệ,16GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-hp-elitebook-745-g5-amd-ryzen-5.html
i7 - 6700HQ,"15.6"" Full HD",Quadro M1000M,Laptop Workstation Cũ ThinkPad P50 - Intel Core i7 / Xeon,12.990.000 đ,8GB DDR4,SSD 240GB,https://laptop88.vn/laptop-workstation-cu-thinkpad-p50-intel-core-i7.html
i5 - 6200U,14'' Full HD,Intel HD 520,Laptop Cũ Lenovo Thinkpad X1 Carbon Gen 4 - Intel Core i5,Liên Hệ,8GB DDR4,SSD 240GB,https://laptop88.vn/laptop-cu-lenovo-thinkpad-x1-carbon-gen-4-intel-core-i5.html
i5 - 8265U,"13.3"" Full HD",Intel UHD 620,Laptop Cũ Dell Latitude 7300 - Intel Core i5,8.190.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-7300-intel-core-i5.html
i5-2410M,14 Inch HD,Intel HD 3000,Laptop Cũ Lenovo Thinkpad T420 - Intel Core i5,Liên Hệ,4GB DDR3,SSD 128GB,https://laptop88.vn/laptop-cu-lenovo-thinkpad-t420-intel-core-i5.html
i7 - 8850H,15.6'' Full HD,Intel UHD Graphics,Laptop Cũ Dell Latitude 5591 - Intel Core i7,10.690.000 đ,8GB or 16GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-5591-intel-core-i7.html
i5 - 5200U,14 Inch HD,Intel HD 5500,Laptop cũ Dell Latitude E5450 - Intel Core i5,4.990.000 đ,4GB DDR3,SSD 120GB,https://laptop88.vn/laptop-dell-latitude-e5450-intel-core-i5-5300uram-4gbssd-120gbintel-hd-graphics-550014-inch-hd.html
i5 - 10210U,14'' Full HD,Intel UHD Grapchis,Laptop Cũ Lenovo Thinkpad T14 Gen 1 - Intel Core i5,Liên Hệ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-lenovo-thinkpad-t14-gen-1-intel-core-i5.html
"
Intel Core i3 1115G4
","14.0"" HD","
Card Intel UHD Graphics
",Laptop Cũ Dell Vostro 3400 - Intel Core i3-1115G4,7.990.000 đ,4GB DDR4,SSD 256GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-dell-vostro-3400-intel-core-i3.html
i5 - 5200U,14 Inch HD,Intel HD 5500,Laptop Cũ Dell Latitude E7450 - Intel Core i5,Liên Hệ,4GB DDR3,SSD 128GB,https://laptop88.vn/laptop-cu-dell-latitude-e7450-core-i5.html
i7 - 7700HQ,15.6'' Full HD,Quadro M1200,Laptop Workstation Cũ Lenovo Thinkpad P51 - Intel Core i7,Liên Hệ,16GB DDR4,SSD 512GB,https://laptop88.vn/laptop-workstation-cu-lenovo-thinkpad-p51-intel-core-i7.html
i5 - 7300HQ,"15.6"" Full HD",Nvidia GTX 1050,Laptop Gaming cũ Dell Inspiron 5577 - Intel Core i5,10.990.000 đ,8GB DDR4,SSD 240GB,https://laptop88.vn/dell-inspiron-gaming-5577-intel-i5-7300hqram8ssd-hdd-1tb-nvidia-geforce-gtx-1050-4gb-ddr5fhd-ips156inch.html
i5 - 6200U,12.5 Inch Full HD,Intel HD Graphics,Laptop Dell Latitude 7280  - Intel Core i5,5.690.000 đ,8GB DDR4,SSD 240GB,https://laptop88.vn/laptop-dell-latitude-7280-intel-core-i5.html
i5 - 4200U,15.6 Inch HD,Intel HD 4400,Laptop Cũ Dell Latitude E5540 - Intel Core i5,Liên Hệ,4GB DDR3L,SSD 120GB,https://laptop88.vn/laptop-dell-latitude-e5540.html
i7 - 8665U,15.6'' Full HD,Intel UHD 620,Laptop Cũ Dell Latitude 5500 - Intel Core i7,Liên Hệ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-5500-intel-core-i7.html
i3 - 4005U,15.6 Inch HD,Intel HD 4400,Laptop Cũ Dell Latitude E5540 - Intel Core i3,Liên Hệ,4GB DDR3,SSD 120GB,https://laptop88.vn/laptop-cu-dell-latitude-e5540-intel-core-i3/p5724.html
i5 - 4200M,14 Inch HD,Intel HD 620,Laptop Cũ Dell Latitude E6440 - Intel Core i5 ,3.990.000 đ,4GB DDR3,SSD 120GB,https://laptop88.vn/dell-latitude-e6440-core-i5.html
i5 - 3320M,14 Inch HD,Intel HD 4000,Laptop Cũ Dell Latitude E6430 - Intel Core i5,Liên Hệ,4GB DDR3,SSD 120GB,https://laptop88.vn/laptop-cu-dell-e6430-core-i5-3320m/p2372.html
i5 - 5200U,15.6 Inch HD,Intel HD 5500,Laptop cũ Dell Latitude E5550 - Intel Core i5,5.490.000 đ,4GB DDR3,SSD 120GB,https://laptop88.vn/laptop-dell-latitude-e5550-intel-core-i5-5300u-ram-4gb-ssd-120gb-intel-hd-graphics-5500-15.6-inch-hd/p3992.html
,,,Laptop HP Probook 450 G5 - Intel Core i5-7200U | 15.6 inch Full HD,Liên Hệ,,,https://laptop88.vn/laptop-hp-probook-450-g5-intel-core-i5-8250uram-4gbssd-256gbintel-uhd-graphics-62015.6-inch-fullhdkeyled-bao-hanh-hang-82019/p3955.html
i5 - 4200M,15.6 Inch Full HD,Intel HD 4600,Laptop cũ Dell Latitude E6540 - Intel Core i5,Liên Hệ,4GB DDR3L,SSD 120GB,https://laptop88.vn/laptop-dell-latitude-e6540-core-i5.html
i5 - 6200U,12.5 Inch HD,Intel HD 520,Laptop Cũ HP Elitebook 820 G3 - Intel Core i5,Liên Hệ,8GB DDR4,SSD 240GB,https://laptop88.vn/laptop-cu-hp-elitebook-820-g3-intel-core-i5/p4823.html
i7 - 6820HQ,15.6'' HD,AMD R7 M370,Laptop Dell Latitude E5570 - Intel Core i7,Liên Hệ,8GB DDR4,SSD 240GB,https://laptop88.vn/laptop-dell-latitude-e5570-intel-core-i7.html
i5 - 6200U,15.6'' Full HD,Intel HD 520,Laptop Dell Latitude E5570 - Intel Core i5,6.290.000 đ,8GB DDR4,SSD 240GB,https://laptop88.vn/laptop-dell-latitude-e5570-intel-core-i5.html
M7 - 6Y57,13.3'' Full HD,Intel HD 515,Laptop Cũ Dell Latitude 7370 - Intel Core M7,Liên Hệ,8GB LPDDR3,SSD 240GB,https://laptop88.vn/laptop-cu-dell-latitude-7370-intel-core-m7.html
i5 - 3210M,14 Inch HD,Intel HD 4000,Laptop cũ Dell Latitude E5430 - Intel Core i5,Liên Hệ,4GB DDR3,SSD 120GB,https://laptop88.vn/laptop-cu-dell-latitude-e5430-intel-core-i5/p2424.html
i5 - 7200U,14 Inch HD,Intel HD 620,Laptop Cũ HP Probook 640 G3 - Intel Core i5,5.990.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-hp-probook-640-g3-intel-core-i5.html
,,,Laptop Cũ Lenovo Thinkpad L540 - Intel Core i5,Liên Hệ,,,https://laptop88.vn/laptop-lenovo-thinkpad-l540-core-i5.html
i5 - 4200U,12.5 Inch HD,Intel HD 4400,Laptop cũ HP Elitebook 820 G1 - Intel Core i5,Liên Hệ,4GB DDR3L,SSD 128GB,https://laptop88.vn/HP-Elitebook-820-G1-i5.html
i5 - 4200U,14 Inch HD,Intel HD 4400,Laptop cũ Dell Latitude E7440 - Intel Core i5,Liên Hệ,4GB DDR3,SSD 120GB,https://laptop88.vn/laptop-cu-dell-e7440-core-i5-4300u-ram-4gb-ssd-120gb-intel-hd-graphics-4400-14-hd-bao-hanh-1-nam.html
i7 - 4600U,14 Inch HD,Intel HD 4400,Laptop cũ Dell Latitude E7440 - Intel Core i7 ,Liên Hệ,4GB / 8GB,SSD 120GB,https://laptop88.vn/laptop-cu-dell-latitude-e7440-core-i7-4600u-ram-4gb-ssd-128gb-intel-hd-graphics-4400-14-hd-bao-hanh-1-nam.html
i5 - 7200U,12.5 Inch HD,Intel HD Graphics,Laptop Cũ HP Elitebook 820 G4 - Intel Core i5,Liên Hệ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-hp-elitebook-820-g4-intel-core-i5.html
i5 - 6300U,14 Inch 2K,Intel HD 520,Laptop Cũ Thinkpad X1 Yoga Gen 1 - Intel Core i5,Liên Hệ,8GB LDDR3,SSD 256GB,https://laptop88.vn/laptop-thinkpad-x1-yoga-gen-1-i5-6300u.html
Core i5-4200U,"15.6"" Full HD",Intel HD Graphics 4400,Laptop Cũ Dell Latitude E3540 - Intel Core i5,Liên Hệ,4GB DDR3L,SSD 120GB,https://laptop88.vn/laptop-cu-dell-latitude-3540-core-i5.html
,,,Laptop Cũ HP Probook 645 G2 - AMD A8,Liên Hệ,,,https://laptop88.vn/laptop-cu-hp-probook-645-g2-amd-a8.html
i5 - 8250U,12.5 Inch HD,Intel HD 620,Laptop Cũ Dell Latitude 7290 - Intel Core i5,Liên Hệ,8GB DDR4,SSD 240GB,https://laptop88.vn/laptop-cu-dell-latitude-7290-intel-core-i5.html
i5 - 6200U,15.6 Inch HD,Intel HD Graphics,Laptop Cũ Lenovo Thinkpad L560 - Intel Core i5,Liên Hệ,8GB DDR3,SSD 256GB,https://laptop88.vn/laptop-cu-lenovo-thinkpad-l560-intel-core-i5.html
i5 - 6200U,13.3'' Full HD,Intel HD 520,Laptop cũ Dell XPS 13 9350 - Intel Core i5,8.690.000 đ,8GB LPDDR3,SSD 256GB,https://laptop88.vn/laptop-dell-xps-9350-intel-core-i5.html
i7 - 5600U,12.5 Inch HD,Intel HD 5500,Laptop Cũ Dell Latitude E7250 - Intel Core i7,Liên Hệ,4GB DDR3L,SSD 120GB,https://laptop88.vn/laptop-dell-latitude-e7250-i7/p3960.html
i7 - 5600U,14 Inch HD+,Intel HD 5500,Laptop Cũ Lenovo Thinkpad T450s -  Intel Core i7,Liên Hệ,8GB DDR3L,SSD 240GB,https://laptop88.vn/laptop-lenovo-thinkpad-t450s-core-i7-i7-5600u-processor-ram-8gb-ssd-256gb-intel-hd-graphics-5500m-14-inch-bao-hanh-1-nam.html
R5 - 5500U,"14"" Full HD",Radeon Graphics,Laptop Cũ Asus Zenbook Q408UG - AMD Ryzen 5-5500U | 14 inch Full HD,11.990.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-asus-zenbook-q408ug-amd-ryzen-5-5500u-14-inch-full-hd.html
i3 5005u,"14"" Full HD",Intel HD 5500,Laptop Cũ Dell Latitude 3460 - Intel Core i3 | 14 inch Full HD,Liên Hệ,4GB | 8GB DDR3L,SSD 128GB,https://laptop88.vn/laptop-cu-dell-latitude-3460-intel-core-i3-14-inch-full-hd.html
i5-1035G1,"13.3"" Full HD ",Intel UHD Graphics,Laptop Cũ HP Pavilion 13-an1052tu - Intel Core i5 1035G1 | 13.3 inch Full HD,Liên Hệ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-hp-pavilion-13-an1052tu-intel-core-i5-1035g1-13.3-inch-full-hd.html
i3 - 4005u,"13.3"" HD","
Intel HD 4400
",Laptop Cũ HP Probook 430 G1 - Intel Core i3,Liên Hệ,4GB LPDDR3,SSD 128GB,https://laptop88.vn/laptop-cu-hp-probook-430-g1-intel-core-i3.html
i5 - 1035G1,13.3'' Full HD,Intel UHD Graphics,Laptop Cũ HP Pavilion X360 2 in 1 - Intel Core i5,Liên Hệ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-hp-pavilion-x360-2-in-1-intel-core-i5.html
"
Chip M1 10 Core
","
16 Inch Retina 4K
","
Card 32-core GPU
",Macbook Pro 16 - M1 Max 10 Core CPU 32 GPU | RAM 32GB  | SSD 1TB | 16 inch 4K 2021 Cũ,Liên Hệ,32GB,SSD 1TB,https://laptop88.vn/macbook-pro-16-m1-max-10-cpu-32-gpu-ram-32gb-ssd-1tb-16-inch-4k-2021-cu.html
i7 - 10810U,"13.3"" Full HD",Intel UHD 620,Laptop Cũ HP Elitebook X360 830 G7 2 in 1 - Intel Core i7 10810U | 13.3 Inch Full HD,Liên Hệ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-hp-elitebook-x360-830-g7-2-in-1-intel-core-i7-10810u-13.3-inch-full-hd.html
i7 - 10610U,15.6 inch Full HD,Intel UHD Graphics,Laptop Cũ HP Elitebook 850 G7 - Intel Core i7-10610U | 16GB RAM | 15.6 Inch Full HD,Liên Hệ,16GB DDR4,SSD 512GB,https://laptop88.vn/laptop-cu-hp-elitebook-850-g7-intel-core-i7-10610u-16gb-ram-15.6-inch-full-hd.html
i5-9400H,"15.6"" Full HD",UHD Graphics,Laptop Cũ Dell Latitude 5501 - Intel Core i5 | 15.6 inch Full HD,Liên Hệ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-5501-intel-core-i5-9300h-15.6-inch-full-hd.html
i5 - 9400H,14 Inch Full HD,UHD Graphics 630,Laptop Cũ Dell Latitude 5401 - Intel Core i5-9400H | 14 inch Full HD,Liên Hệ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-5401-intel-core-i5-9400h-14-inch-full-hd.html
"
AMD R5-5500U
","15.6"" Full HD","
AMD Radeon Graphics
",Laptop Cũ Dell Vostro 15 5515 R1505A - AMD Ryzen 5-5500U | 15.6 Inch Full HD,Liên Hệ,8GB DDR4,SSD 256GB NVMe,https://laptop88.vn/laptop-cu-dell-vostro-15-5515-r1505a-amd-ryzen-5.html
AMD R7 - 2700U,"14"" Full HD","
AMD Radeon Vega
",Laptop Cũ HP Elitebook 745 G5 - AMD Ryzen 7,Liên Hệ,16GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-hp-elitebook-745-g5-amd-ryzen-7.html
Intel Core i7-8850H,"15.6"" Full HD",Quadro P2000 ,Laptop Cũ Workstation HP Zbook 15 G5 - Intel Core i7-8850H | Quadro P2000,Liên Hệ,16GB DDR4,SSD 512GB,https://laptop88.vn/laptop-cu-workstation-hp-zbook-15-g5-intel-core-i7-8850h-quadro-p1000.html
i7 - 8560U,"14"" Full HD",Intel UD 620,Laptop Cũ Lenovo Thinkpad T490 - Intel Core i7 ,Liên Hệ,16GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-lenovo-thinkpad-t490-intel-core-i7.html
i7 - 7820HQ,"15.6"" Full HD",Intel HD 630,Laptop Cũ HP Probook 650 G3 - Intel Core i7 7820HQ | 15.6 Inch Full HD,Liên Hệ,8GB DDR4,SSD 240GB,https://laptop88.vn/laptop-cu-hp-probook-650-g3-intel-core-i7-7820hq-15.6-inch-full-hd.html
i5 - 8250U,"15.6"" Full HD",Intel HD 620,Laptop Cũ Lenovo Thinkpad T580 - Intel Core i5 8250U | 15.6 Inch Full HD,Liên Hệ,8GB DDR4,SSD 240GB,https://laptop88.vn/moi-100-full-box-laptop-lenovo-thinkpad-t580-intel-core-i5-8250u-15.6-inch-full-hd.html
i5 - 8250U,"15.6"" Full HD",Intel UHD 620,Laptop Cũ Lenovo Thinkpad L580 - Intel Core i5 ,Liên Hệ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-lenovo-thinkpad-l580-intel-core-i5.html
i9 - 12900HK,"15.6"" 3.5K",Nvidia RTX 3050Ti,Laptop Dell XPS 15 9520 (2022) - Intel Core i9-12900HK | RAM 32GB | Nvidia RTX 3050Ti | 15.6 Inch 3.5K,Liên Hệ,32GB DDR4,SSD 1TB NVMe,https://laptop88.vn/laptop-dell-xps-15-9520-2022-intel-core-i9-12900hk-ram-32gb-nvidia-rtx-3050ti-15.6-inch-3.5k.html
R5 -3500U,"14"" Full HD",AMD Vega 8,Laptop Cũ Lenovo E41-55 - AMD Ryzen 5-3500U | 14 Inch Full HD,Liên Hệ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-lenovo-e41-55-amd-ryzen-5-3500u-14-inch-full-hd.html
i5 - 6200U,15.6 Inch HD,Intel HD 520,Laptop Cũ HP Elitebook 850 G3 - Intel Core i5,Liên Hệ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-hp-elitebook-850-g3-intel-core-i5.html
i5 - 7440HQ,"14"" Full HD",Intel HD 620,Laptop cũ Lenovo Thinkpad T470p - Intel Core i5,Liên Hệ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-lenovo-thinkpad-t470p-intel-core-i5-1.html
i7 - 9850H,"15.6"" 4K",Intel UHD 630,Laptop Cũ Lenovo Thinkpad P1 Gen 2 - Intel Core i7 9850H,Liên Hệ,16GB DDR4,SSD 512GB,https://laptop88.vn/laptop-cu-lenovo-thinkpad-p1-gen-2-intel-core-i7-9850h.html
i9 - 9880H,15.6 Inch 4K,Nvidia RTX 4000,Laptop Cũ Lenovo Thinkpad P53  - Intel Core i9-9880H | RTX 4000,Liên Hệ,32GB DDR4,SSD 1TB,https://laptop88.vn/laptop-cu-lenovo-thinkpad-p53-intel-core-i9-9880h-rtx-4000.html
i5 - 10310U,"14"" Full HD",Intel HD 620,Laptop Cũ Lenovo Thinkpad X1 Carbon Gen 8 - Intel Core i5,Liên Hệ,8GB DDR3,SSD 256GB,https://laptop88.vn/laptop-cu-lenovo-thinkpad-x1-carbon-gen-8-intel-core-i5.html
i7 - 8750H,"15.6"" Full HD",Nvidia GTX 1050Ti,Laptop Dell XPS 15 9570 - Intel Core i7 - 8750H | GTX 1050Ti,17.490.000 đ,16GB DDR4,SSD 1TB,https://laptop88.vn/laptop-dell-xps-15-9570-intel-core-i7-8750h.html
i5 - 8250U,"15.6"" Full HD",Intel HD 620,Laptop Cũ HP Elitebook 850 G5 - Intel Core i5,Liên Hệ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-hp-elitebook-850-g5-intel-core-i5.html
i7 - 10850H,"15.6"" Full HD",Quadro T1000M,Laptop Cũ Dell Precision 7550 - Intel Core i7 10850H | Quadro T1000M,Liên Hệ,16GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-dell-precision-7550-intel-core-i7-10850h-quadro-t1000m.html
i5 - 6200U,"15.6"" Full HD",Intel HD 520,Laptop Cũ Lenovo Thinkpad T570 - Intel Core i5,Liên Hệ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-lenovo-thinkpad-t570-intel-core-i5.html
i5 - 10310U,"15.6"" Full HD",Intel UHD 620,Laptop Cũ Dell Latitude 5510 - Intel Core i5,Liên Hệ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-5510-intel-core-i5.html
i5 - 8350U,"15.6"" Full HD",Intel UHD 620,Laptop Cũ Dell Latitude 5500 - Intel Core i5,9.290.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-5500-intel-core-i5.html
i5 - 10310U,"13.3"" Full HD",Intel UHD Graphics,Laptop Cũ Dell Latitude 7310 - Intel Core i5,Liên Hệ,16GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-7310-intel-core-i5.html
i3 - 4005U,12.5 Inch HD,Intel HD 4400,Laptop Cũ Dell Latitude E7240 - Intel Core i3,Liên Hệ,4GB DDR3L,SSD 128GB,https://laptop88.vn/laptop-cu-dell-latitude-e7240-intel-core-i3.html
AMD A8 - 8600B,12.5 Inch HD,AMD Vega Radeon,Laptop Cũ HP Elitebook 725 G3 - AMD A8,Liên Hệ,4GB DDR3,SSD 128GB,https://laptop88.vn/laptop-cu-hp-elitebook-725-g3-amd-a8.html
i5 - 10210U,"14"" Full HD",Intel UHD 620,Laptop Cũ Dell Latitude 3410 - Intel Core i5,9.990.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-3410-intel-core-i5.html
i7 - 7600U,"14"" Full HD",Intel UHD 520,Laptop Cũ Lenovo Thinkpad T470s - Intel Core i7,Liên Hệ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-lenovo-thinkpad-t470s-intel-core-i7.html
i9 - 9880H,"15.6"" Full HD",Quadro T1000,Laptop Cũ Dell Precision 7540 - Intel Core i9,Liên Hệ,16GB DDR4,SSD 512GB,https://laptop88.vn/laptop-cu-dell-precision-7540-intel-core-i9.html
i7 - 6600U,14 Inch HD,Intel HD 520,Laptop Cũ HP Probook 640 G2 - Intel Core i7,5.290.000 đ,8GB DDR4,SSD 128GB,https://laptop88.vn/laptop-cu-hp-probook-640-g2-intel-core-i7.html
i7 - 1185G7,"14"" Full HD, sRGB",Intel Xe Graphics,Laptop Cũ Lenovo Yoga 9 14ITL5 - Intel Core i7 | Gold,Liên Hệ,8GB DDR4L,SSD 512GB,https://laptop88.vn/laptop-cu-lenovo-yoga-9-14itl5-intel-core-i7-gold.html
i9 - 8950HK,"15.6"" Full HD",Quadro P2000M,Laptop Cũ Dell Precision 7530 - Intel Core i9,Liên Hệ,16GB DDR4,SSD 512GB,https://laptop88.vn/laptop-dell-precision-7530-intel-core-i9.html
i7 - 10750H,"15.6"" Full HD",Quadro P620,Laptop Cũ Dell Precision 3551 - Intel Core i7,Liên Hệ,16GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-dell-precision-3551-intel-core-i7.html
