Name,Price,URL,CPU,Ram,Storage,Graphics,Display,Status
HP Probook 430 G8,11.500.000,https://techcare.vn/san-pham/hp-probook-430-g8/,Core i5-1135G7,8 GB,SSD 256GB,Intel UHD Graphics,13.3 inch Full HD,99%
Dell Inspiron 5448,Liên hệ,https://techcare.vn/san-pham/laptop-dell-inspiron-5448-core-i5-5200u-card-hoa-roi-amd-radeon-r7-m265/,Core i5-5200U,4 GB,SSD 120GB,AMD Radeon R7 M265 2 GB,14 inch HD,99%
Dell Precision M6700,Liên hệ,https://techcare.vn/san-pham/dell-precision-m6700/,,,,,,
Dell inspiron 7447,9.600.000,https://techcare.vn/san-pham/dell-inspiron-7447-i7/,Core i7-4720HQ,8 GB, HDD 500GB + SSD 120GB,Nvidia Geforce GTX 850M,14 inch HD,99%
HP Elitebook 830 G6,7.500.000,https://techcare.vn/san-pham/laptop-hp-elitebook-830-g6/,Core i5-8365U,8 GB,SSD 256GB,Intel UHD Graphics,13 inch Full HD,99%
Dell Vostro 7580,21.000.000,https://techcare.vn/san-pham/dell-vostro-7580/,Core i7-8750H,8 GB,HDD 1TB + SSD 128GB,Nvidia Geforce GTX 1050Ti,15.6 inch Full HD,99%
Dell g7 7588,18.900.000,https://techcare.vn/san-pham/dell-g7-7588/,Core i7-8750H,8 GB,HDD 1TB + SSD 128GB,Nvidia GTX 1050Ti,15.6 inch Full HD,99%
Dell Latitude 5591,9.900.000,https://techcare.vn/san-pham/laptop-dell-latitude-5591/,Core i7-8750H,8 GB,SSD 256GB,Nvidia Geforce MX130 2GB,15.6 inch Full HD,99%
Dell g3 3590,16.500.000,https://techcare.vn/san-pham/dell-g3-3590-core-i7/,Core i7-9750H,8 GB,HDD 1TB + SSD 120GB,Nvidia GeForce GTX 1650 4GB,15.6 inch Full HD,99%
Lenovo Thinkpad T460s,6.800.000,https://techcare.vn/san-pham/lenovo-thinkpad-t460s-i5/,Core i5-6200U,8 GB,SSD 240GB,Intel HD Graphics 520,14 inch Full HD,99%
Dell Latitude 7400,8.500.000,https://techcare.vn/san-pham/dell-latitude-7400/,Core i5-8365U,8 GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,99%
Dell Latitude 3380,7.500.000,https://techcare.vn/san-pham/dell-latitude-3380/,Core i3-6006U,4 GB,SSD 128GB,Intel HD Graphics 520,13.3 inch HD,99%
Lenovo K21-80,7.200.000,https://techcare.vn/san-pham/lenovo-k21-80/,Core i3-6100U,4 GB,SSD 120GB,Intel HD Graphics 520,12.5 inch HD,99%
Lenovo X1 Yoga Gen 3,23.900.000,https://techcare.vn/san-pham/lenovo-x1-yoga-gen-3-20lds00l00-i5/, Core i5-8250U,8 GB,SSD 256GB,Intel HD Graphics 620,14 inch 2K cảm ứng,99%
HP Elitebook 840 G4,8.200.000,https://techcare.vn/san-pham/hp-elitebook-840-g4/,Core i5-7200U,8 GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,99%
Lenovo X1 Carbon Gen 6,17.200.000,https://techcare.vn/san-pham/lenovo-thinkpad-x1-carbon-gen-6-20khs01900-i7/,Core i7-8550U,8 GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,99%
Lenovo Thinkpad X280,14.900.000,https://techcare.vn/san-pham/lenovo-thinkpad-x280-20kfs01900/, Core i5-8250U,8 GB,SSD 256GB,Intel HD Graphics 620,12.5 inch HD,99%
HP EliteBook 840 G6,9.200.000,https://techcare.vn/san-pham/hp-elitebook-840-g6/,Core i5-8350U,8 GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,99%
HP Probook 440 G5,7.900.000,https://techcare.vn/san-pham/hp-probook-440-g5/, Core i5-8250U,8 GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,99%
Dell Latitude 3450,8.500.000,https://techcare.vn/san-pham/dell-latitude-3450/,Core i5-5200U,4 GB,SSD 120GB,Intel HD Graphics 5500,14 inch HD,99%
Lenovo Thinkpad x280,20.500.000,https://techcare.vn/san-pham/lenovo-thinkpad-x280-20kfs01boo-i7/,Core i7-8550U,8 GB,SSD 256GB,Intel HD Graphics 620,12.5 inch HD,99%
HP ProBook 640 G3,10.500.000,https://techcare.vn/san-pham/hp-probook-640-g3/,Core i5-7200U,8 GB,SSD 240GB,Intel HD Graphics 620,14 inch HD,99%
Lenovo K43c-80,9.800.000,https://techcare.vn/san-pham/lenovo-k43c-80/,Core i3-8130U,8 GB,HDD 1TB + SSD 120GB,Intel HD Graphics 620,14 inch Full HD,99%
HP Probook 640 G7,9.900.000,https://techcare.vn/san-pham/laptop-hp-probook-640-g7/,Core i5-10210U,8 GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,99%
HP Probook 450 G3,8.600.000,https://techcare.vn/san-pham/hp-probook-450-g3/,Core i3-6100U,4 GB,SSD 120GB,Intel HD Graphics 520,15.6 inch HD,99%
Dell Vostro 3549,Liên hệ,https://techcare.vn/san-pham/dell-vostro-3549-i5-5200u-nvidia-geforce-820m/,Core i5-5200U,4 GB,SSD 120GB,Nvidia GeForce 820M,15.6 inch HD,99%
Dell Latitude 3470,5.900.000,https://techcare.vn/san-pham/dell-latitude-3470/,Core i5-6200U,8 GB,SSD 256GB,Intel HD Graphics 520,14 inch HD,99%
Lenovo Thinkpad X270,8.600.000,https://techcare.vn/san-pham/lenovo-thinkpad-x270-i5/,Core i5-7200U,4 GB,SSD 120GB,Intel HD Graphics 520,12.5 inch Full HD,99%
Dell Latitude 3400,10.500.000,https://techcare.vn/san-pham/dell-latitude-3400/,Core i7-8565U,8 GB,SSD 256GB,Nvidia MX130,14 inch Full HD,99%
HP Probook 440 G6,Liên hệ,https://techcare.vn/san-pham/hp-probook-440-g6-6fg85pa-i5/,Core i5-8265U,8 GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,99%
HP Probook 650 G2,8.400.000,https://techcare.vn/san-pham/hp-probook-650-g2/,Core i5-6200U,4 GB,SSD 128GB,Intel HD Graphics 520,15.6 inch HD,99%
MacBook Air M1 2020,17.900.000,https://techcare.vn/san-pham/macbook-air-m1-2020/,Apple M1,8 GB,SSD 256GB,Intel Iris Plus Graphics,13.3 inch (2560x1600)pixel,99%
Dell Latitude 5490,5.900.000,https://techcare.vn/san-pham/dell-latitude-5490/,Core i5-7200U,8 GB,SSD 128GB,Intel HD Graphics 620,14 inch Full HD,99%
Dell Latitude E5590,6.800.000,https://techcare.vn/san-pham/dell-latitude-e5590/,Core i5-7300U,8 GB,SSD 256GB,Intel HD Graphics,15.6 inch HD,99%
HP Probook 650 G1,4.900.000,https://techcare.vn/san-pham/hp-probook-650-g1-2/,Core i3-4000M,4 GB,SSD 120GB,Intel Graphics 4600,15.6 inch HD,99%
Dell Latitude E5550,7.500.000,https://techcare.vn/san-pham/dell-latitude-e5550-i5/,Core i3-5010U,4 GB,SSD 120GB,Intel HD Graphics 5500,15.6 inch HD,99%
HP Elitebook 9470m,Liên hệ,https://techcare.vn/san-pham/laptop-hp-elitebook-folio-9470m-core-i5-3427u-intel-hd-graphics-4000/,Core i5-3427U,4 GB,SSD 120GB,Intel HD Graphics 4000,14 inch HD,99%
Lenovo Yoga S1,8.800.000,https://techcare.vn/san-pham/lenovo-yoga-s1-i5/,Core i5-4200U,8 GB,SSD 240GB,Intel HD Graphics 4400,12.5 Inch Full HD cảm ứng,99%
Dell Latitude E5570,Liên hệ,https://techcare.vn/san-pham/dell-latitude-e5570/,Core i5-6200U,8 GB,SSD 240GB,Intel HD Graphics 520,15.6 inch HD,99%
Dell Latitude E5530,5.300.000,https://techcare.vn/san-pham/dell-latitude-e5530-i5-intel-hd-graphics-4000/,Core i5-3320M,4 GB,SSD 120GB,Intel HD Graphics 4000,15.6 inch HD,99%
Dell Latitude E5430,Liên hệ,https://techcare.vn/san-pham/dell-latitude-e5430-i5-intel-hd-graphics-4000/,Core i5-3320M,4 GB,SSD 128GB,Intel HD Graphics 4000,14 inch HD,99%
Lenovo Thinkpad X260,8.500.000,https://techcare.vn/san-pham/lenovo-thinkpad-x260/,Core i5-6300U,4 GB,SSD 120GB,Intel HD Graphics 520,12.5 inch HD,99%
HP Elitebook 1040 G3,Liên hệ,https://techcare.vn/san-pham/hp-elitebook-1040-g3/,Core i5-6300U,8 GB,SSD 256GB,Intel HD Graphics 520,14 inch Full HD,99%
Dell Latitude E7440,4.800.000,https://techcare.vn/san-pham/dell-latitude-e7440-i5-intel-hd-graphics-family/,Core i5-4300U,4 GB,SSD 120GB,Intel HD Graphics 4400,14 inch HD,99%
Dell Latitude E3570,6.500.000,https://techcare.vn/san-pham/dell-latitude-e3570-i5/,Core i3-6100U,4 GB,SSD 120GB,Intel HD Graphics 520,15.6 inch HD,99%
Dell Latitude e7240,6.500.000,https://techcare.vn/san-pham/dell-latitude-e7240/,Core i7-4600U,4 GB,SSD 120GB,Intel HD Graphics 4400,12.5 inch HD,99%
Dell latitude 3560,4.900.000,https://techcare.vn/san-pham/dell-latitude-3560-i3/,Core i3-5005U,4 GB,SSD 120GB,Intel HD Graphics 5500,15.6 inch HD,99%
Dell Latitude E3460,6.200.000,https://techcare.vn/san-pham/dell-latitude-e3460/,Intel Celeron 3215U,4 GB,SSD 120GB,Intel HD Graphics 4400,14 inch HD,99%
HP EliteBook 830 G5,7.500.000,https://techcare.vn/san-pham/hp-elitebook-830-g5-core-i5/, Core i5-8250U,8 GB,SSD 256GB,Intel HD Graphics 620,13.3 inch Full HD,99%
HP Omen 15T (2018),Liên hệ,https://techcare.vn/san-pham/hp-omen-15t/,,,,,,
Lenovo Thinkpad E490,Liên hệ,https://techcare.vn/san-pham/lenovo-thinkpad-e490/,,,,,,
Dell Latitude 5480,9.900.000,https://techcare.vn/san-pham/dell-latitude-5480/,Core i7-7600U,8 GB,SSD 120GB,Intel HD Graphics,14 inch Full HD,99%
HP Probook 4530s,Liên hệ,https://techcare.vn/san-pham/hp-probook-4530s-i5-2/,,,,,,
HP Omen 15,Liên hệ,https://techcare.vn/san-pham/hp-omen-15-i5/,,,,,,
HP 440 G6 5YM64PA,Liên hệ,https://techcare.vn/san-pham/hp-probook-440-g6-5ym64pa-i5/,,,,,,
Dell Latitude 3560,5.900.000,https://techcare.vn/san-pham/dell-latitude-3560/,Core i5-5200U,4 GB,SSD 120GB,Intel HD Graphics 5500,15.6 inch HD,99%
Lenovo Legion Y720,Liên hệ,https://techcare.vn/san-pham/lenovo-legion-y720/,,,,,,
HP Probook 450 G2,4.900.000,https://techcare.vn/san-pham/laptop-hp-probook-450-g2-core-i5-4210u-intel-hd-graphics-4400/,Core i3-4030U,4 GB,SSD 120GB,Intel HD Graphics 4400,15.6 inch HD,99%
HP EliteBook 1050 G1,38.290.000,https://techcare.vn/san-pham/hp-elitebook-1020-g1-i5/,Core i5-8300H,16 GB,SSD 512GB,NVIDIA GeForce GTX 1050,15.6 inch Full HD,100 %
HP omen 15T (2018),Liên hệ,https://techcare.vn/san-pham/hp-omen-15t-core-i5/,,,,,,
HP Probook 430 G3,8.300.000,https://techcare.vn/san-pham/hp-probook-430-g3-i5/,Core i3-6100U,4 GB,SSD 120GB,Intel HD Graphics 520,13.3 inch HD,99%
Dell Latitude e7470,7.500.000,https://techcare.vn/san-pham/dell-latitude-e7470/,Core i7-6600U,8 GB,SSD 240GB,Intel HD Graphics 520,14 inch Full HD,99%
Hp EliteBook 830 G5,8.200.000,https://techcare.vn/san-pham/hp-elitebook-830-g5/,Core i7-8550U,8 GB,SSD 256GB,Intel HD Graphics 620,13.3 inch Full HD,99%
Dell Latitude 5520,Liên hệ,https://techcare.vn/san-pham/laptop-dell-5520-cu-core-i5/,,,,,,
Dell Latitude E6430S,Liên hệ,https://techcare.vn/san-pham/dell-latitude-e6430s-i5-intel-hd-graphics-4000/,,,,,,
Dell Latitude E5491,Liên hệ,https://techcare.vn/san-pham/dell-latitude-e5491/,,,,,,
Dell latitude E5440,Liên hệ,https://techcare.vn/san-pham/dell-latitude-e5440/,,,,,,
Lenovo ThinkPad T460s,7.700.000,https://techcare.vn/san-pham/lenovo-thinkpad-t460s/,Core i7-6600U,8 GB,SSD 240GB,Intel HD Graphics 520,14 inch Full HD,99%
Lenovo X1 Carbon gen 3,10.800.000,https://techcare.vn/san-pham/business-thinkpad-x1-carbon-gen-3/,Core i5-5200U,8 GB,SSD 120GB,Intel HD Graphics 5500,14 inch Full HD,99%
HP 440 G6 5YM63PA,Liên hệ,https://techcare.vn/san-pham/hp-probook-440-g6-5ym63pa/,,,,,,
Dell latitude 3340,Liên hệ,https://techcare.vn/san-pham/dell-latitude-3340-i5/,,,,,,
Dell Latitude E6230,Liên hệ,https://techcare.vn/san-pham/dell-latitude-e6230-core-i7/,,,,,,
Dell Latitude 3340,Liên hệ,https://techcare.vn/san-pham/dell-latitude-3340-i3/,,,,,,
Lenovo Thinkpad T450s,9.900.000,https://techcare.vn/san-pham/lenovo-thinkpad-t450s-i7/, Core i7-5600U,8 GB,SSD 240GB,Intel HD Graphics 5500,14 inch Full HD,99%
HP 440 G6 6FL65PA,Liên hệ,https://techcare.vn/san-pham/hp-probook-440-g6-6fl65pa-i7/,,,,,,
HP 440 G6 5YM61PA,Liên hệ,https://techcare.vn/san-pham/hp-probook-440-g6-5ym61pa-i5/,,,,,,
HP Elitebook 850 G2,8.600.000,https://techcare.vn/san-pham/hp-elitebook-850-g2/,Core i5-5200U,4 GB,SSD 240GB,Intel HD Graphics 5500,15.6 inch HD,99%
Dell Latitude 3540,6.200.000,https://techcare.vn/san-pham/dell-latitude-3540-i5/,Core i3-4005U,4 GB,SSD 128GB,Intel HD Graphics 4400,15.6 inch HD,99%
Dell Latitude e5440,Liên hệ,https://techcare.vn/san-pham/dell-latitude-5440/,,,,,,
Dell Latitude E6430s,Liên hệ,https://techcare.vn/san-pham/dell-latitude-e6430s-i7/,,,,,,
Lenovo Thinkpad T480,8.500.000,https://techcare.vn/san-pham/lenovo-thinkpad-t480-core-i7/,Core i7-8550U,8 GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,99%
Dell Latitude e7440,5.500.000,https://techcare.vn/san-pham/dell-latitude-e7440-i7/,Core i7-4600U,4 GB,SSD 120GB,Intel HD Graphics 4400,14 inch HD,99%
Dell Latitude E5250,Liên hệ,https://techcare.vn/san-pham/laptop-dell-latitude-e5250/,,,,,,
Lenovo ThinkPad E460,Liên hệ,https://techcare.vn/san-pham/lenovo-thinkpad-e460/,,,,,,
HP 15 Da1030TX,Liên hệ,https://techcare.vn/san-pham/hp-15-da1030tx-i7/,,,,,,
Dell Inspiron 7557,Liên hệ,https://techcare.vn/san-pham/dell-inspiron-7557-i5/,,,,,,
Dell Latitude E3580,8.400.000,https://techcare.vn/san-pham/dell-latitude-e3580-i5/,Core i5-6200U,4 GB,SSD 256GB,Intel HD Graphics 620,15.6 inch HD,99%
Dell latitude 7490,8.300.000,https://techcare.vn/san-pham/dell-latitude-7490-core-i7/,Core i7-8650U,8 GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,99%
Dell Latitude e6440,5.900.000,https://techcare.vn/san-pham/dell-latitude-e6440-i7/,Core i7–4600M,4 GB,SSD 120GB,Intel Graphics 4600,14 inch HD,99%
,Liên hệ,https://techcare.vn/laptop-cu/laptop-msi-cu/,,,,,,
Fujitsu Siemens E752,Liên hệ,https://techcare.vn/san-pham/fujitsu-siemens-lifebook-e752-i5/,,,,,,
HP Elitebook 1040 G1,7.200.000,https://techcare.vn/san-pham/hp-elitebook-folio-1040-g3-core-i5-6300u-intel-hd-graphics-520/,Core i5-4300U,4 GB,SSD 128GB,Intel HD Graphics 520,14 inch HD,99%
Lenovo Thinkpad X230,Liên hệ,https://techcare.vn/san-pham/laptop-cu-lenovo-thinkpad-x230-core-i5-3320m/,,,,,,
Dell Vostro 3578,12.600.000,https://techcare.vn/san-pham/dell-vostro-3578-i5/, Core i5-8250U,4 GB,HDD 1TB,AMD Radeon 520,15.6 inch Full HD,99%
Dell Latitude e7480,6.500.000,https://techcare.vn/san-pham/dell-latitude-e7480-i7/,Core i7-6600U,8 GB,SSD 240GB,Intel HD Graphics 520,14 inch HD,99%
Asus A411UA BV445T,10.500.000,https://techcare.vn/san-pham/asus-a411ua-bv445t-i5/, Core i5-8250U,4 GB,HDD 1TB,Intel HD Graphics 620,14 inch Full HD,99%
HP 440 G6 5YM62PA,Liên hệ,https://techcare.vn/san-pham/hp-probook-440-g6-5ym62pa-5ym73pa-6fg86pa/,,,,,,
HP 440 G6 5YM60PA,Liên hệ,https://techcare.vn/san-pham/hp-probook-440-g6-5ym60pa/,,,,,,
HP Probook 4540s,6.900.000,https://techcare.vn/san-pham/hp-probook-4540s-core-i5-3210m-vga-2gb-amd-radeon-hd-7650m/,Core i5-3320M,4 GB,SSD 120GB,Intel HD Graphics 4000,15.6 inch HD,99%
Hp Elitebook 840 G3,7.300.000,https://techcare.vn/san-pham/hp-elitebook-840-g3/,Core i7-6600U,8 GB,SSD 240GB,Intel HD Graphics 520,14 inch Full HD,99%
HP EliteBook 850 G1,7.300.000,https://techcare.vn/san-pham/hp-elitebook-850-g1/,Core i5-4300U,4 GB,SSD 120GB,Intel HD Graphics 4400,15.6 inch HD,99%
Lenovo Thinkpad X250,7.700.000,https://techcare.vn/san-pham/lenovo-thinkpad-x250/,Core i5-5300U,4 GB,SSD 120GB,Intel HD Graphics 5500,12.5 inch HD,99%
HP omen 15,Liên hệ,https://techcare.vn/san-pham/hp-omen-15-i7/,,,,,,
Dell Vostro 3459,Liên hệ,https://techcare.vn/san-pham/dell-vostro-3459-i5/,,,,,,
HP Zbook 17 G2,Liên hệ,https://techcare.vn/san-pham/hp-zbook-17-g2/,,,,,,
Lenovo Thinkpad T450,Liên hệ,https://techcare.vn/san-pham/lenovo-thinkpad-t450/,Core i5-5200U,8 GB,SSD 240GB,Intel HD Graphics 5500,14 inch HD,99%
Dell Latitude e7450,Liên hệ,https://techcare.vn/san-pham/dell-latitude-e7450-corei7/,,,,,,
Dell Inspiron 5447,Liên hệ,https://techcare.vn/san-pham/dell-inspiron-5447/,,,,,,
Lenovo Thinkpad E480,Liên hệ,https://techcare.vn/san-pham/lenovo-thinkpad-e480/,,,,,,
Dell Alienware 13 R3,Liên hệ,https://techcare.vn/san-pham/dell-alienware-13-r3/,,,,,,
Dell Latitude e7270,Liên hệ,https://techcare.vn/san-pham/dell-latitude-e7270/,Core i7-6600U,8 GB,SSD 240GB,Intel HD Graphics 520,12.5 inch HD,99%
Lenovo Thinkpad T440,Liên hệ,https://techcare.vn/san-pham/lenovo-thinkpad-t440/,Core i5-4300U,4 GB,SSD 128GB,Intel HD Graphics 4400,14 inch HD,99%
Dell Latitude E3550,Liên hệ,https://techcare.vn/san-pham/laptop-dell-latitude-e3550-core-i3-4005u-intel-hd-graphics/,Core i3-4005U,4 GB,SSD 120GB,Intel HD Graphics,15.6 inch HD,99%
Dell Latitude E6530,Liên hệ,https://techcare.vn/san-pham/dell-latitude-e6530-i5-nvidia-nvs-5200m/,,,,,,
Dell Precision M3800,Liên hệ,https://techcare.vn/san-pham/dell-precision-m3800/,,,,,,
Asus UX310UA,14.500.000,https://techcare.vn/san-pham/laptop-cu-asus-zenbook-ux310ua-core-i7-6500u-card-intel-hd-graphics-520/,Core i7-6500U,8 GB,SSD 256GB,Intel HD Graphics 520,13.3 inch Full HD,99%
HP Elitebook 810 G1,Liên hệ,https://techcare.vn/san-pham/laptop-cu-hp-elitebook-810-g1-core-i5-3437u-intel-hd-graphics-4000/,,,,,,
Dell Latitude e6540,6.600.000,https://techcare.vn/san-pham/dell-latitude-e6540-corei7/,Core i7–4600M,4 GB,SSD 120GB,Intel Graphics 4600,15.6 inch HD,99%
Dell Vostro 3468,Liên hệ,https://techcare.vn/san-pham/dell-vostro-3468-i5-7200u-amd-radeon-r5-m315/,,,,,,
Dell Inspiron 5567,Liên hệ,https://techcare.vn/san-pham/laptop-dell-inspiron-5567-core-i5-7200u-card-roi-amd-radeon-r7-m445/,,,,,,
Dell Vostro 3559,Liên hệ,https://techcare.vn/san-pham/laptop-dell-vostro-3559-i5-6200u-amd-radeon-r5-m315/,Core i5-6200U,4 GB,HDD 500GB,AMD Radeon R5 M315,15.6 inch HD,99%
Dell Precision M4700,Liên hệ,https://techcare.vn/san-pham/dell-precision-m4700-i7-nvidia-quadro-k1000m/,,,,,,
Dell Inspiron 7537,Liên hệ,https://techcare.vn/san-pham/dell-inspiron-7537-core-i5-4210u-nvidia-geforce-gt-750m/,,,,,,
Dell inspiron 7557,Liên hệ,https://techcare.vn/san-pham/dell-inspiron-7557/,,,,,,
Dell N3458,Liên hệ,https://techcare.vn/san-pham/dell-n3458-i5-nvidia-geforce-gt820/,Core i5-5200U,4 GB,HDD 500GB,NVIDIA GeForce GT820,14 inch HD,99%
Dell Inspiron 5558,Liên hệ,https://techcare.vn/san-pham/laptop-dell-inspiron-5558-core-i5-5200u-card-roi-nvidia-geforce-gt920/,,,,,,
Dell Inspiron 7353,Liên hệ,https://techcare.vn/san-pham/laptop-dell-inspiron-7353-core-i7-6500u-card-intel-hd-graphics-520/,,,,,,
Dell Vostro 5480,9.300.000,https://techcare.vn/san-pham/laptop-dell-vostro-5480-i5-5200u-nvidia-gt830m-2-gb/,Core i5-5200U,4 GB,HDD 500GB,Nvidia GT830M,14 inch HD,99%
Dell Inspiron N5547,Liên hệ,https://techcare.vn/san-pham/laptop-dell-inspiron-n5547-i5-4210u-amd-radeon-r7-m265/,Core i5-4210U,4 GB,HDD 500GB,AMD Radeon R7 M265 2 GB,15.6 inch HD,99%
Dell Vostro 3449,Liên hệ,https://techcare.vn/san-pham/dell-vostro-3449-i5-nvidia-geforce-gt820/,,,,,,
Dell Inspiron 7568,Liên hệ,https://techcare.vn/san-pham/dell-inspiron-7568-core-i5-6200u-intel-hd-graphic-520/,Core i5-6200U,4 GB,HDD 500GB,Intel HD Graphics 520,15.6 inch Full HD cảm ứng,99%
Dell Inspiron 5559,Liên hệ,https://techcare.vn/san-pham/laptop-dell-inspiron-5559-i5-6200u-amd-radeon-r5-m335/,Core i5-6200U,4 GB,SSD 120GB,AMD Radeon R5 M335 2GB,15.6 inch HD,99%
,Liên hệ,https://techcare.vn/laptop-cu/dell-cu/,,,,,,
Dell Inspiron 5568,Liên hệ,https://techcare.vn/san-pham/laptop-dell-inspiron-5568-core-i7-6500u-intel-hd-graphics-520/,,,,,,
Dell Inspiron 5459,Liên hệ,https://techcare.vn/san-pham/laptop-dell-inspiron-5459-core-i5-6200u-card-roi-amd-radeon-r5-m335/,,,,,,
Dell Inspiron 7548,Liên hệ,https://techcare.vn/san-pham/laptop-dell-inspiron-7548-core-i5-5200u-card-roi-amd-r7-m270/,,,,,,
HP Elitebook 820 G1,Liên hệ,https://techcare.vn/san-pham/hp-elitebook-820-g1-i5-4300u-intel-hd-graphics/,,,,,,
Dell Latitude 3440,Liên hệ,https://techcare.vn/san-pham/dell-latitude-3440-i5-nvidia-geforce-gt-740/,Core i5-4200U,4 GB,HDD 500GB,Nvidia Geforce GT740,14 inch HD,99%
Dell Inspiron 5543,Liên hệ,https://techcare.vn/san-pham/laptop-dell-inspiron-5543-i5-5200u-2gb-amd-r5-m240/,Core i5-5200U,4 GB,SSD 120GB,AMD R5 M240 2GB,15.6 inch HD,99%
HP Elitebook 820 G2,Liên hệ,https://techcare.vn/san-pham/hp-elitebook-820-g2-i5-5300u-intel-hd-graphics/,,,,,,
Dell Inspiron 5767,Liên hệ,https://techcare.vn/san-pham/laptop-dell-inspiron-5767-core-i7-7500u-card-roi-amd-r4-m445/,,,,,,
Dell Inspiron 7359,Liên hệ,https://techcare.vn/san-pham/laptop-dell-inspiron-7359-core-i5-6200u-intel-hd-graphics-520/,,,,,,
